Stride,Stride(ms),Lagging,BLEU,DAL,AL,AP
5,200,1,0.71,-1422.12,251.98,0.3
5,200,2,1.11,-1255.69,433.01,0.34
5,200,3,1.18,-1090.76,609.28,0.38
5,200,4,1.97,-791.76,825.32,0.45
5,200,5,1.93,-656.43,1000.17,0.49
5,200,6,2.35,-374.28,1198.86,0.54
6,240,1,1.18,-1189.63,329.05,0.36
6,240,2,1.99,-928.61,555.73,0.42
6,240,3,2.73,-652.58,784.99,0.48
6,240,4,2.9,-376.39,1020.95,0.54
6,240,5,4.01,26.38,1266.87,0.61
6,240,6,4.79,322.97,1489.41,0.66
7,280,1,2.07,-900.52,448.89,0.41
7,280,2,3.53,-492.39,752.45,0.5
7,280,3,4.78,-102.14,1034.09,0.58
7,280,4,5.41,260.03,1301.19,0.64
7,280,5,6.54,689.77,1582.76,0.7
7,280,6,6.53,1011.79,1839.07,0.74
8,320,1,4.5,-194.98,792.28,0.54
8,320,2,5.63,142.29,1079.9,0.6
8,320,3,7.55,719.21,1446.35,0.69
8,320,4,8.18,1166.02,1750.54,0.75
8,320,5,7.84,1170.07,1901.71,0.76
8,320,6,8.45,1578.9,2206.05,0.8
9,360,1,6.49,317.2,1159.11,0.61
9,360,2,7.86,725.16,1465.24,0.68
9,360,3,8.86,1191.12,1799.27,0.75
9,360,4,9.07,1502.38,2074.61,0.79
9,360,5,9.41,1767.43,2294.34,0.82
9,360,6,9.32,2114.41,2576.5,0.85
10,400,1,7,632.3,1400.02,0.66
10,400,2,9.3,1191.68,1828.28,0.74
10,400,3,9.4,1517.83,2080.78,0.79
10,400,4,10.4,2015.42,2492.86,0.84
10,400,5,9.96,2270.46,2708.11,0.87
10,400,6,10.47,2484.33,2907.28,0.89
15,600,1,10.08,1701.37,2570.09,0.8
15,600,2,11.14,2231.13,2984.1,0.86
15,600,3,10.88,2627.21,3308.3,0.9
15,600,4,10.99,2988.34,3580.21,0.92
15,600,5,11.18,3331.39,3862.39,0.94
15,600,6,11.36,3571.73,4041.53,0.95
20,800,1,10.63,2212.99,3241.26,0.86
20,800,2,11.49,2764.48,3664.19,0.91
20,800,3,11.46,3184.41,3934.48,0.94
20,800,4,11.68,3572.04,4227.44,0.95
20,800,5,11.25,3918.67,4461.11,0.97
20,800,6,11.43,4184.37,4634,0.98